headerImage,Sum of upVotes
https://i.imgur.com/Urohox1.jpg,86
https://assets.tryhackme.com/room-banners/misguidedghosts.png,83
https://assets.tryhackme.com/additional/printnightmare/pm-room-banner2.png,83
https://imgix.bustle.com/inverse/3e/3c/cc/21/fe5a/4918/aefb/16b5887c0c73/screen-shot-2015-06-24-at-44324-pm.png,81
https://i.postimg.cc/dVKytjXS/Inacave-Banner.png,75
"https://www.thoughtco.com/thmb/UdP9Tep2FRd3ArOFhvBG5c3xJxc=/3917x2542/filters:fill(auto,1)/temple-of-poseidon-at-sunset-in-sounio-cape-in-attica-region--greece-825555030-5a988339875db900375b9a46.jpg",74
https://i.imgur.com/1SlZ4ux.jpg,74
https://assets.tryhackme.com/room-banners/temple.jpg,70
https://i.imgur.com/Ea9uba1.png,70
https://i.imgur.com/M4EePuT.jpg,66
https://i.imgur.com/jemtUtJ.jpg,64
https://i.imgur.com/tQ1lamt.png,64
https://drive.google.com/uc?export=view&id=1E_xaRG-jL_pcqv5jx29HQdpSt8ievyME,64
https://drive.google.com/uc?export=view&id=1-_Adp14s8CLQovpwPESP-sa16RmxUYSa,63
https://cncf-branding.netlify.app/img/projects/kubernetes/horizontal/color/kubernetes-horizontal-color.svg,60
https://tryhackme-images.s3.amazonaws.com/user-uploads/63588b5ef586912c7d03c4f0/room-content/8a581efc602bef91f34d64c9be00861b.png,52
https://blog.hydrashead.net/images/posts/thm-shaker/Shaker-banner.png,45
https://i.ibb.co/xSzgvdF/wall.jpg,44
https://assets.tryhackme.com/room-banners/core-services-banner.png,7
https://assets.tryhackme.com/room-banners/iam-banner.png,6
https://assets.tryhackme.com/room-banners/serverless-banner.png,2
https://assets.tryhackme.com/room-banners/iam-priv-esc-banner.png,1
https://tryhackme-images.s3.amazonaws.com/user-uploads/62a7685ca6e7ce005d3f3afe/room-content/179cc5798fbe14fe4685f30747e6dbfc.png,0
Grand Total,567777
